availability,brand,category,color,currency,date,discount,name,picture,price,productid,url
in stock,Fendi,Shoulder Bag,Pink,€,2022-12-10,,Fendi Peach & Pink Zucca Mamma,https://luxurybyho.com/wp-content/uploads/2021/09/IMG_0375.jpg,652.50,fendi_peach_pink_zucca_mamma_20221210,https://luxurybyho.com/shop/fendi-peach-pink-zucca-mamma/
in stock,Fendi,Shoulder Bag,"Beige, Blue, Purple",€,2022-12-10,,Fendi Pattern Nylon Mamma,https://luxurybyho.com/wp-content/uploads/2022/04/IMG_8465.jpg,652.50,fendi_pattern_nylon_mamma_20221210,https://luxurybyho.com/shop/fendi-pattern-nylon-mamma/
in stock,Marni,Crossbody Bag,Pink,€,2022-12-10,,Marni Small Light Pink Trunk,https://luxurybyho.com/wp-content/uploads/2022/07/IMG_7802-3.jpg,625.50,marni_small_light_pink_trunk_20221210,https://luxurybyho.com/shop/marni-small-light-pink-trunk/
in stock,Fendi,Shoulder Bag,Blue,€,2022-12-10,,Fendi Denim Snake Special Edition Mamma,https://luxurybyho.com/wp-content/uploads/2022/08/IMG_3042-2.jpg,652.50,fendi_denim_snake_special_edition_mamma_20221210,https://luxurybyho.com/shop/fendi-denim-snake-special-edition-mamma/
in stock,Fendi,Shoulder Bag,Brown,€,2022-12-10,,Fendi Brown Plastic Zucca Baguette,https://luxurybyho.com/wp-content/uploads/2022/07/IMG_0016-2.jpg,680.00,fendi_brown_plastic_zucca_baguette_2_20221210,https://luxurybyho.com/shop/fendi-brown-plastic-zucca-baguette-2/
in stock,Marni,Crossbody Bag,"Beige, Black",€,2022-12-10,,Marni Small Beige & Black Trunk,https://luxurybyho.com/wp-content/uploads/2022/09/IMG_5689-4.jpg,680.00,marni_small_beige_black_trunk_20221210,https://luxurybyho.com/shop/marni-small-beige-black-trunk/
in stock,Cartier,Accessories,Pink,€,2022-12-10,,Cartier Rose Gold 46 Single Diamond Ring,https://luxurybyho.com/wp-content/uploads/2022/11/IMG_3172-4.jpg,680.00,cartier_rose_gold_46_single_diamond_ring_20221210,https://luxurybyho.com/shop/cartier-rose-gold-46-single-diamond-ring/
in stock,Fendi,Shoulder Bag,Brown,€,2022-12-10,,Fendi Zucca Mamma,https://luxurybyho.com/wp-content/uploads/2022/06/IMG_0329-4.jpg,720.50,fendi_zucca_mamma_8_20221210,https://luxurybyho.com/shop/fendi-zucca-mamma-8/
in stock,Bottega Veneta,Shoulder Bag,White,€,2022-12-10,,Bottega Veneta White Ring Hobo,https://luxurybyho.com/wp-content/uploads/2022/09/IMG_2684-3-scaled.jpg,680.00,bottega_veneta_white_ring_hobo_20221210,https://luxurybyho.com/shop/bottega-veneta-white-ring-hobo/
in stock,Balenciaga,Crossbody Bag,Grey,€,2022-12-10,,Balenciaga Large Dark Grey Part-Time,https://luxurybyho.com/wp-content/uploads/2022/12/IMG_4832-5-scaled.jpg,680.00,balenciaga_large_dark_grey_part_time_20221210,https://luxurybyho.com/shop/balenciaga-large-dark-grey-part-time/
